DATENUM_EXCEL,MATLAB_DATENUM,TMPC
40184.35625,735606.3563,-2.2
40184.39792,735606.3979,-2.2
40184.43958,735606.4396,-2.2
40184.48125,735606.4813,-2.2
40184.52292,735606.5229,-2.8
40184.56458,735606.5646,-2.2
40184.60625,735606.6063,-2.2
40184.64792,735606.6479,-2.8
40184.68958,735606.6896,-2.8
40184.73125,735606.7313,-2.8
40184.77292,735606.7729,-2.8
40184.81458,735606.8146,-2.2
40184.85625,735606.8563,-2.2
40184.89792,735606.8979,-2.8
40184.93958,735606.9396,-2.8
40184.98125,735606.9813,-2.8
40185.02292,735607.0229,-2.8
40185.06458,735607.0646,-2.8
40185.10625,735607.1063,-3.3
40185.14792,735607.1479,-2.8
40185.18958,735607.1896,-3.3
40185.23125,735607.2313,-3.9
40185.27292,735607.2729,-3.9
40185.31458,735607.3146,-3.9
40185.35625,735607.3563,-3.9
40185.39792,735607.3979,-3.9
40185.43958,735607.4396,-3.9
40185.48125,735607.4813,-3.9
40185.52292,735607.5229,-3.9
40185.56458,735607.5646,-3.9
40185.60625,735607.6063,-3.9
40185.64792,735607.6479,-3.9
40185.68958,735607.6896,-4.4
40185.73125,735607.7313,-4.4
40185.77292,735607.7729,-5
40185.81458,735607.8146,-5
40185.85625,735607.8563,-4.4
40185.89792,735607.8979,-5.6
40185.93958,735607.9396,-6.1
40185.98125,735607.9813,-6.1
40186.02292,735608.0229,-6.7
40186.06458,735608.0646,-6.7
40186.10625,735608.1063,-6.7
40186.14792,735608.1479,-6.7
40186.18958,735608.1896,-7.2
40186.23125,735608.2313,-7.2
40186.27292,735608.2729,-7.8
40186.31458,735608.3146,-7.8
40186.35625,735608.3563,-8.3
40186.39792,735608.3979,-8.9
40186.43958,735608.4396,-8.9
40186.48125,735608.4813,-8.9
40186.52292,735608.5229,-8.9
40186.56458,735608.5646,-8.9
40186.60625,735608.6063,-8.9
40186.64792,735608.6479,-8.9
40186.68958,735608.6896,-8.9
40186.73125,735608.7313,-8.9
40186.77292,735608.7729,-8.9
40186.81458,735608.8146,-8.3
40186.85625,735608.8563,-7.8
40186.89792,735608.8979,-7.8
40186.93958,735608.9396,-7.8
40186.98125,735608.9813,-7.8
40187.02292,735609.0229,-7.8
40187.06458,735609.0646,-7.8
40187.10625,735609.1063,-7.8
40187.14792,735609.1479,-7.8
40187.18958,735609.1896,-7.8
40187.23125,735609.2313,-7.8
40187.27292,735609.2729,-7.8
40187.31458,735609.3146,-8.3
40187.35625,735609.3563,-8.3
40187.39792,735609.3979,-8.3
40187.43958,735609.4396,-8.3
40187.48125,735609.4813,-8.3
40187.52292,735609.5229,-8.3
40187.56458,735609.5646,-8.3
40187.60625,735609.6063,-8.3
40187.64792,735609.6479,-8.3
40187.68958,735609.6896,-8.9
40187.73125,735609.7313,-8.9
40187.77292,735609.7729,-8.9
40187.81458,735609.8146,-8.9
40187.85625,735609.8563,-8.9
40187.89792,735609.8979,-8.9
40187.93958,735609.9396,-9.4
40187.98125,735609.9813,-9.4
40188.02292,735610.0229,-10.6
40188.06458,735610.0646,-10.6
40188.10625,735610.1063,-11.1
40188.14792,735610.1479,-11.1
40188.18958,735610.1896,-11.7
40188.23125,735610.2313,-12.2
40188.27292,735610.2729,-12.8
40188.31458,735610.3146,-12.8
40188.35625,735610.3563,-13.3
40188.39792,735610.3979,-13.9
40188.43958,735610.4396,-13.9
40188.48125,735610.4813,-13.9
40188.52292,735610.5229,-13.3
40188.56458,735610.5646,-13.9
40188.60625,735610.6063,-13.9
40188.64792,735610.6479,-13.9
40188.68958,735610.6896,-13.9
40188.73125,735610.7313,-13.9
40188.77292,735610.7729,-13.3
40188.81458,735610.8146,-13.3
40188.85625,735610.8563,-13.9
40188.89792,735610.8979,-13.3
40188.93958,735610.9396,-13.3
40188.98125,735610.9813,-13.3
40189.02292,735611.0229,-13.3
40189.06458,735611.0646,-13.3
40189.10625,735611.1063,-12.8
40189.14792,735611.1479,-12.8
40189.18958,735611.1896,-12.8
40189.23125,735611.2313,-12.2
40189.27292,735611.2729,-11.7
40189.31458,735611.3146,-11.7
40189.35625,735611.3563,-11.7
40189.39792,735611.3979,-11.7
40189.43958,735611.4396,-11.7
40189.48125,735611.4813,-11.1
40189.52292,735611.5229,-11.1
40189.56458,735611.5646,-10.6
40189.60625,735611.6063,-11.1
40189.64792,735611.6479,-11.1
40189.68958,735611.6896,-10.6
40189.73125,735611.7313,-10
40189.77292,735611.7729,-10.6
40189.81458,735611.8146,-10.6
40189.85625,735611.8563,-10
40189.89792,735611.8979,-10
40189.93958,735611.9396,-10
40189.98125,735611.9813,-9.4
40190.02292,735612.0229,-10
40190.06458,735612.0646,-9.4
40190.10625,735612.1063,-10
40190.14792,735612.1479,-10
40190.18958,735612.1896,-10
40190.23125,735612.2313,-9.4
40190.27292,735612.2729,-9.4
40190.31458,735612.3146,-9.4
40190.35625,735612.3563,-8.9
40190.39792,735612.3979,-8.3
40190.43958,735612.4396,-7.8
40190.48125,735612.4813,-7.8
40190.52292,735612.5229,-7.2
40190.56458,735612.5646,-7.2
40190.60625,735612.6063,-6.7
40190.64792,735612.6479,-6.7
40190.68958,735612.6896,-6.7
40190.73125,735612.7313,-6.1
40190.77292,735612.7729,-5.6
40190.81458,735612.8146,-5
40190.85625,735612.8563,-6.1
40190.89792,735612.8979,-6.7
40190.93958,735612.9396,-7.2
40190.98125,735612.9813,-6.7
40191.02292,735613.0229,-6.1
40191.06458,735613.0646,-4.4
40191.10625,735613.1063,-4.4
40191.14792,735613.1479,-3.9
40191.18958,735613.1896,-3.9
40191.23125,735613.2313,-3.9
40191.27292,735613.2729,-3.9
40191.31458,735613.3146,-3.9
40191.35625,735613.3563,-3.3
40191.39792,735613.3979,-2.2
40191.43958,735613.4396,-2.2
40191.48125,735613.4813,-1.7
40191.52292,735613.5229,-1.7
40191.56458,735613.5646,-2.8
40191.60625,735613.6063,-4.4
40191.64792,735613.6479,-4.4
40191.68958,735613.6896,-5
40191.73125,735613.7313,-5.6
40191.77292,735613.7729,-5.6
40191.81458,735613.8146,-5
40191.85625,735613.8563,-4.4
40191.89792,735613.8979,-4.4
40191.93958,735613.9396,-4.4
40191.98125,735613.9813,-5
40192.02292,735614.0229,-5
40192.06458,735614.0646,-5.6
40192.10625,735614.1063,-5.6
40192.14792,735614.1479,-6.1
40192.18958,735614.1896,-6.1
40192.23125,735614.2313,-6.7
40192.27292,735614.2729,-6.7
40192.31458,735614.3146,-6.7
40192.35625,735614.3563,-6.7
40192.39792,735614.3979,-6.1
40192.43958,735614.4396,-6.7
40192.48125,735614.4813,-6.1
40192.52292,735614.5229,-6.1
40192.56458,735614.5646,-6.1
40192.60625,735614.6063,-5
40192.64792,735614.6479,-4.4
40192.68958,735614.6896,-3.9
40192.73125,735614.7313,-3.3
40192.77292,735614.7729,-2.8
40192.81458,735614.8146,-2.2
40192.85625,735614.8563,-1.7
40192.89792,735614.8979,-1.7
40192.93958,735614.9396,-1.1
40192.98125,735614.9813,-0.6
40193.02292,735615.0229,-1.1
40193.06458,735615.0646,-1.7
40193.10625,735615.1063,-1.7
40193.14792,735615.1479,-1.7
40193.18958,735615.1896,-1.1
40193.23125,735615.2313,-1.1
40193.27292,735615.2729,-0.6
40193.31458,735615.3146,-0.6
40193.35625,735615.3563,-0.6
40193.39792,735615.3979,0.6
40193.43958,735615.4396,0
40193.48125,735615.4813,0
40193.52292,735615.5229,-0.6
40193.56458,735615.5646,-0.6
40193.60625,735615.6063,-0.6
40193.64792,735615.6479,-0.6
40193.68958,735615.6896,0
40193.73125,735615.7313,0
40193.77292,735615.7729,0.6
40193.81458,735615.8146,1.1
40193.85625,735615.8563,1.7
40193.89792,735615.8979,2.8
40193.93958,735615.9396,2.2
40193.98125,735615.9813,2.8
40194.02292,735616.0229,3.3
40194.06458,735616.0646,2.8
40194.10625,735616.1063,2.8
40194.14792,735616.1479,2.2
40194.18958,735616.1896,2.8
40194.23125,735616.2313,2.8
40194.27292,735616.2729,3.9
40194.31458,735616.3146,5
40194.35625,735616.3563,5.6
40194.39792,735616.3979,6.1
40194.43958,735616.4396,5.6
40194.48125,735616.4813,4.4
40194.52292,735616.5229,5.6
40194.56458,735616.5646,5.6
40194.60625,735616.6063,6.1
40194.64792,735616.6479,6.1
40194.68958,735616.6896,5
40194.73125,735616.7313,3.9
40194.77292,735616.7729,2.2
